departments,course_title,ucas_code,highers,degree_type
,Biochemistry with Industrial Placement,C701,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biological Sciences,C900,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biomedical Science (Anatomy) with Industrial Placement,B9BD,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biomedical Science (Developmental Biology) with Industrial Placement,B9CC,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biomedical Science (Molecular Biology) with Industrial Placement,B9CR,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biomedical Science (Pharmacology) with Industrial Placement,B9BF,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biomedical Science (Physiology) with Industrial Placement,B9BA,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Biotechnology (Applied Molecular Biology) with Industrial Placement,J701,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Computing Science with Industrial Placement,G401,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Genetics (Immunology) with Industrial Placement,C451,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Genetics with Industrial Placement,C401,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Human Embryology and Developmental Biology with Industrial Placement,CC7C,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Immunology and Pharmacology with Industrial Placement,BC2M,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Immunology with Industrial Placement,C550,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Microbiology with Industrial Placement,C501,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Molecular Biology with Industrial Placement,CC47,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Neuroscience with Psychology with Industrial Placement,B1C8,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Pharmacology with Industrial Placement,B211,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Physiology with Industrial Placement,B121,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Sports and Exercise Science with Industrial Placement,C602,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
,Exercise and Health Science with Industrial Placement,C601,AAAB,MSci HONOURS with INDUSTRIAL PLACEMENT
